PartitionKey,RowKey,test_type,test_type@type,protocol,protocol@type,latency_total,latency_total@type,latency_mean,latency_mean@type,latency_max,latency_max@type,latency_min,latency_min@type,throughput,throughput@type,success,success@type,server,server@type,sent_throughput,sent_throughput@type,received_throughput,received_throughput@type,max_rtt,max_rtt@type,min_rtt,min_rtt@type,mean_rtt,mean_rtt@type,duration,duration@type
10.2.0.23,01 27 2022 16 45 00,iperf3,String,,,,,,,,,,,,,,,10.1.0.27,String,1816960667,String,1813167084,String,84237,Int32,38381,Int32,69273,Int32,5,Int64
10.2.0.23,01 27 2022 16 50 00,iperf3,String,,,,,,,,,,,,,,,10.1.0.27,String,1787107662,String,1782515752,String,94876,Int32,43618,Int32,74228,Int32,5,Int64
10.2.0.24,01 27 2022 15 55 00,iperf3,String,,,,,,,,,,,,,,,10.1.0.10,String,4641433078,String,4634922689,String,108361,Int32,23113,Int32,54592,Int32,5,Int64
10.2.0.24,01 27 2022 16 00 00,iperf3,String,,,,,,,,,,,,,,,10.1.0.10,String,1689197713,String,1683282416,String,1159415,Int32,17417,Int32,206034,Int32,5,Int64
10.2.0.24,01 27 2022 16 05 00,iperf3,String,,,,,,,,,,,,,,,10.1.0.10,String,1758364885,String,1754257745,String,2299544,Int32,6448,Int32,209938,Int32,5,Int64
10.2.0.24,01 27 2022 16 10 00,iperf3,String,,,,,,,,,,,,,,,10.1.0.10,String,1862598384,String,1856372741,String,101488,Int32,6093,Int32,50765,Int32,5,Int64
10.2.0.24,01 27 2022 16 15 00,iperf3,String,,,,,,,,,,,,,,,10.1.0.10,String,1780998984,String,1776615315,String,435472,Int32,8123,Int32,57884,Int32,5,Int64
10.2.0.24,01 27 2022 16 20 00,iperf3,String,,,,,,,,,,,,,,,10.1.0.10,String,1921707466,String,1917034876,String,102045,Int32,23187,Int32,64101,Int32,5,Int64
10.2.0.24,01 27 2022 16 25 00,iperf3,String,,,,,,,,,,,,,,,10.1.0.10,String,1838131423,String,1833212589,String,2824117,Int32,16986,Int32,295348,Int32,5,Int64
10.2.0.24,01 27 2022 16 30 00,iperf3,String,,,,,,,,,,,,,,,10.1.0.10,String,1910369845,String,1905278525,String,176983,Int32,57815,Int32,87707,Int32,5,Int64
10.2.0.24,01 27 2022 16 35 00,iperf3,String,,,,,,,,,,,,,,,10.1.0.10,String,1874711588,String,1869974122,String,145098,Int32,4092,Int32,90022,Int32,5,Int64
10.2.0.24,01 27 2022 16 40 00,iperf3,String,,,,,,,,,,,,,,,10.1.0.10,String,1843078147,String,1838114567,String,96188,Int32,14088,Int32,53174,Int32,5,Int64
10.2.0.24,01 27 2022 16 45 00,iperf3,String,,,,,,,,,,,,,,,10.1.0.10,String,1948323520,String,1943261206,String,116872,Int32,9284,Int32,75333,Int32,5,Int64
10.2.0.24,01 27 2022 16 50 00,iperf3,String,,,,,,,,,,,,,,,10.1.0.10,String,1918027874,String,1912628733,String,198922,Int32,5491,Int32,124933,Int32,5,Int64
10.2.0.25,01 27 2022 15 55 00,iperf3,String,,,,,,,,,,,,,,,10.1.0.12,String,4738177695,String,4731846186,String,224794,Int32,36107,Int32,66698,Int32,5,Int64
10.2.0.25,01 27 2022 16 00 00,iperf3,String,,,,,,,,,,,,,,,10.1.0.12,String,1967680645,String,1962752673,String,158475,Int32,4681,Int32,107143,Int32,5,Int64
10.2.0.25,01 27 2022 16 05 00,iperf3,String,,,,,,,,,,,,,,,10.1.0.12,String,1926004278,String,1921001069,String,103119,Int32,32018,Int32,66902,Int32,5,Int64
10.2.0.25,01 27 2022 16 10 00,iperf3,String,,,,,,,,,,,,,,,10.1.0.12,String,2030648898,String,2025493428,String,95674,Int32,5022,Int32,60105,Int32,5,Int64
