PartitionKey,RowKey,test_type,test_type@type,protocol,protocol@type,latency_total,latency_total@type,latency_mean,latency_mean@type,latency_max,latency_max@type,latency_min,latency_min@type,throughput,throughput@type,success,success@type,server,server@type,sent_throughput,sent_throughput@type,received_throughput,received_throughput@type,max_rtt,max_rtt@type,min_rtt,min_rtt@type,mean_rtt,mean_rtt@type,duration,duration@type
10.2.0.121,01 28 2022 10 40 00,vegeta,String,http,String,356951957.5,Double,29745.99646,Double,30010.12065,Double,232.123912,Double,0.151907898,String,0.003416667,String,10.1.0.125,String,,,,,,,,,,,,
10.2.0.121,01 28 2022 10 45 00,vegeta,String,http,String,357872807.1,Double,29822.73393,Double,30020.596,Double,104.509012,Double,0.122243114,String,0.00275,String,10.1.0.125,String,,,,,,,,,,,,
10.2.0.121,01 28 2022 10 50 00,vegeta,String,http,String,357150501,Double,29762.54175,Double,30015.56973,Double,133.884122,Double,0.103744568,String,0.002333333,String,10.1.0.125,String,,,,,,,,,,,,
10.2.0.121,01 28 2022 10 55 00,vegeta,String,http,String,356966386.2,Double,29747.19885,Double,30019.41382,Double,244.093658,Double,0.118546726,String,0.002666667,String,10.1.0.125,String,,,,,,,,,,,,
10.2.0.121,01 28 2022 11 00 00,vegeta,String,http,String,357740786.2,Double,29811.73219,Double,30020.45212,Double,84.237354,Double,0.148159031,String,0.003333333,String,10.1.0.125,String,,,,,,,,,,,,
10.2.0.122,01 28 2022 10 40 00,vegeta,String,http,String,357368327.3,Double,29780.69394,Double,30020.15511,Double,249.81422,Double,0.144479829,String,0.00325,String,10.1.0.106,String,,,,,,,,,,,,
10.2.0.122,01 28 2022 10 45 00,vegeta,String,http,String,357652199.6,Double,29804.34997,Double,30010.26479,Double,239.896055,Double,0.085210304,String,0.001916667,String,10.1.0.106,String,,,,,,,,,,,,
10.2.0.122,01 28 2022 10 50 00,vegeta,String,http,String,357526373.8,Double,29793.86448,Double,30021.28642,Double,252.342271,Double,0.125968046,String,0.002833333,String,10.1.0.106,String,,,,,,,,,,,,
10.2.0.122,01 28 2022 10 55 00,vegeta,String,http,String,358510027,Double,29875.83558,Double,30020.07334,Double,206.151652,Double,0.125963081,String,0.002833333,String,10.1.0.106,String,,,,,,,,,,,,
10.2.0.122,01 28 2022 11 00 00,vegeta,String,http,String,358135009.1,Double,29844.58409,Double,30014.23872,Double,272.660845,Double,0.122255133,String,0.00275,String,10.1.0.106,String,,,,,,,,,,,,
10.2.0.123,01 28 2022 10 40 00,vegeta,String,http,String,356568404.4,Double,29714.0337,Double,30017.87597,Double,235.438655,Double,0.125956347,String,0.002833333,String,10.1.0.116,String,,,,,,,,,,,,
10.2.0.123,01 28 2022 10 45 00,vegeta,String,http,String,356055460.4,Double,29671.28836,Double,30017.68411,Double,257.345599,Double,0.114831749,String,0.002583333,String,10.1.0.116,String,,,,,,,,,,,,
10.2.0.123,01 28 2022 10 50 00,vegeta,String,http,String,356974146,Double,29747.8455,Double,30016.92686,Double,242.367232,Double,0.140760796,String,0.003166667,String,10.1.0.116,String,,,,,,,,,,,,
10.2.0.123,01 28 2022 10 55 00,vegeta,String,http,String,357200514.9,Double,29766.70957,Double,30021.72469,Double,118.349969,Double,0.137080557,String,0.003083333,String,10.1.0.116,String,,,,,,,,,,,,
10.2.0.123,01 28 2022 11 00 00,vegeta,String,http,String,357198094.6,Double,29766.50788,Double,30017.93988,Double,225.763185,Double,0.211189192,String,0.00475,String,10.1.0.116,String,,,,,,,,,,,,
